Reference,Value,Footprint,Count,Datasheet,FootprintLib,Mfg_Part_No
"C1,C2,C3,C4",0.1uF,C_0805,4,,Capacitors_SMD,CL21B104KBCNNNC
D1,10V,D_SOD-323,1,,Diodes_SMD,MMSZ5240BS-7-F
"JP1,JP2",JUMPER,R_0805,2,,Resistors_SMD,RC0805JR-070RL
JP3,A0,R_0603,1,,Resistors_SMD,
JP4,A1,R_0603,1,,Resistors_SMD,
JP5,A2,R_0603,1,,Resistors_SMD,
L2,1.8mH,RN242-X-02-XXX,1,,Sci-Bots,RN242-6-02-1M8
P1,SFM-105-02-L-D-A,SFM-105-02-XXX-D-A,1,,Sci-Bots,SFM-105-02-L-D-A
P10,Conn_01x02,bornier2,1,,Connect,
"P2,P4,P6",SFM-125-02-L-D-A,SFM-125-02-XXX-D-A,3,,Sci-Bots,SFM-125-02-L-D-A
"P3,P7",TFM-120-01-L-D-RA,TFM-120-01-XXX-D-RA,2,,Sci-Bots,TFM-120-01-L-D-RA
P5,TFM-125-01-L-D-RA,TFM-125-01-XXX-D-RA,1,,Sci-Bots,TFM-125-01-L-D-RA
"P8,P13,P14,P15",Conn_01x01,1pin,4,,Connect,
P9,Conn_01x03,Pin_Header_Straight_1x03,1,,Pin_Headers,
Q1,IRF9388TRPBF,SO-8,1,,Power_Integrations,IRF9388TRPBF
"R1,R7",10k,R_0805,2,,Resistors_SMD,RC0805FR-0710KL
U1,CAT24C__,TSSOP-8_4.4x3mm_Pitch0.65mm,1,,Housings_SSOP,CAT24C16YI-GT3
U2,D24V22F3,D24V22F,1,,Sci-Bots,
