Reference,Value,Footprint,Count,Datasheet,Mfg_Part_No
"P2, P4, P6",SFM-125-02-L-D-A,WheelerLab:SFM-125-02-XXX-D-A,3,,SFM-125-02-L-D-A
"JP1, JP2",JUMPER,Resistors_SMD:R_0805,2,,
P9,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,1,,
U2,D24V22F3,WheelerLab:D24V22F,1,,
P10,CONN_01X02,Connect:bornier2,1,,
P11,USB_A,WheelerLab:UE27AE54100,1,,UE27AE54100
P12,USB_B,WheelerLab:1734517-1,1,,1734517-1
Q1,IRF9388TRPBF,Power_Integrations:SO-8,1,,
P1,SFM-105-02-L-D-A,WheelerLab:SFM-105-02-XXX-D-A,1,,SFM-105-02-L-D-A
"P3, P7, P5",TFM-125-02-L-DH,WheelerLab:TFM-120-02-X-DH,3,,TFM-125-02-L-DH
D1,WE-TVS_824015,WheelerLab:wurth-WE-TVS_SOT23-6L,1,,824015
L1,90 Ohm@100MHz,WheelerLab:wurth-WE-CNSW_0805,1,,744231091
L2,1.8mH,WheelerLab:RN242-X-02-XXX,1,,RN242-6-02-1M8
"C1, C2, C3, C4",0.1uF,Capacitors_SMD:C_0805,4,,
"FB1, FB2",600 Ohm@100MHz,Resistors_SMD:R_0805,2,,742792040
"P8, P13, P14, P15",CONN_01X01,Connect:1pin,4,,
